President,Justice Full Name,To Replace,Nominated,Vote,Result,Vote Year,V,Yea Votes,No Votes
"Washington, George","Ellsworth, Oliver",Jay,"Mar 3, 1796",21-1,C,1796,21-1,21,1
"Garfield, James",Stanley Matthews,Swayne,"Mar 14, 1881",24-23,C,1881,24-23,24,23
"Van Buren, Martin","Daniel, Peter",Barbour,"Feb 26, 1841",25-5,C,1841,25-5,25,5
"Buchanan, James","Clifford, Nathan",Curtis,"Dec 9, 1857",26-23,C,1858,26-23,26,23
"Adams, John Quincy","Trimble, Robert",Todd,"Apr 11, 1826",27-5,C,1826,27-5,27,5
"Jackson, Andrew","Catron, John",(new seat),"Mar 3, 1837",28-15,C,1837,28-15,28,15
"Jackson, Andrew","Taney, Roger",Marshall,"Dec 28, 1835",29-15,C,1836,29-15,29,15
"Jackson, Andrew","Barbour, Philip",Duvall,"Dec 28, 1835",30-11,C,1836,30-11,30,11
"Cleveland, Grover","Lamar, Lucius",Woods,"Dec 6, 1887",32-28,C,1888,32-28,32,28
"Lincoln, Abraham","Swayne, Noah",McLean,"Jan 21, 1862",38-1,C,1862,38-1,38,1
"Hayes, Rutherford","Woods, William",Strong,"Dec 15, 1880",39-8,C,1880,39-8,39,8
"Jackson, Andrew","Baldwin, Henry",Washington,"Jan 4, 1830",41-2,C,1830,41-2,41,2
"Cleveland, Grover","Fuller, Melville",Waite,"Apr 30, 1888",41-20,C,1888,41-20,41,20
"Wilson, Woodrow","McReynolds, James",Lurton,19-Aug-14,44-6,C,1914,44-6,44,6
"Grant, Ulysses","Stanton, Edwin",Grier,"Dec 20, 1869",46-11,C,1869,46-11,46,11
"Grant, Ulysses","Bradley, Joseph",(new seat),"Feb 7, 1870",46-9,C,1870,46-9,46,9
"Wilson, Woodrow","Brandeis, Louis",Lamar,28-Jan-16,47-22,C,1916,47-22,47,22
"Truman, Harry","Minton, Sherman",Rutledge,15-Sep-49,48-16,C,1949,48-16,48,16
"Taft, William","Pitney, Mahlon",Harlan,19-Feb-12,50-26,C,1912,50-26,50,26
"Trump, Donald","Kavanaugh, Brett",Kennedy,"Jul 10, 2018",50-48 No. 223,C,2018,50-48,50,48
"Arthur, Chester","Gray, Horace",Clifford,"Dec 19, 1881",51-5,C,1881,51-5,51,5
"Hoover, Herbert","Hughes, Charles",Taft,3-Feb-30,52-26,C,1930,52-26,52,26
"Trump, Donald","Barrett, Amy Coney",Ginsburg,29-Sep-20,52-48 No. 224,C,2020,52-48,52,48
"Bush, George H.W.","Thomas, Clarence",Marshall,"Jul 8, 1991",52-48 No. 220,C,1991,52-48,52,48
"Harrison, Benjamin","Brewer, David",Matthews,"Dec 4, 1889",53-11,C,1889,53-11,53,11
"Biden, Joseph R., Jr.","Jackson, Ketanji Brown",Breyer,28-Feb-22,53-47 No. 134,C,2022,53-47,53,47
