Full Name,Position ,Years of Service as a justice,Recess Appointment?,Year of Birth,Age When Appointed,Birth location,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's state judicial service,Nominee's federal judicial service (other than the U.S. Supreme Court),Nominee's Occupation at Time of Appointment, Home State of Nominee,Appointing President,Political Party Affiliation of President,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Whittaker, Charles Evans",Associate Justice,1957-1962,,1901,56,Kansas,Methodist,White,Male,Unknown or No Undergraduate Education,N/A,Kansas City School of Law (now University of Missouri-Kansas City School of Law),N/A,No,Missouri,N/A,Federal judge for the Western District of Missouri and for the Court of Appeals for the Eighth Circuit,U.S. Court of Appeals judge,Missouri,Dwight David Eisenhower,Republican,Declining health,61,1973
"Stewart, Potter",Associate Justice,1958-1981,Yes,1915,43,Michigan,Episcopalian,White,Male,Yale University,Cambridge University,Yale University,N/A,No,"Ohio, New York",N/A,Federal judge for the Court of Appeals for the Sixth Circuit,U.S. Court of Appeals judge,Ohio,Dwight David Eisenhower,Republican,Spent more time with family,44,1985
"White, Byron Raymond",Associate Justice,1962-1993,,1917,44,Colorado,Episcopalian,White,Male,University of Colorado,Oxford University,Yale University,N/A,"Yes, Fred Vinson (1946-47)",Colorado,N/A,,U.S. Assistant Attorney General,Colorado,John Fitzgerald Kennedy,Democrat,Spent more time with family,76,2002
"Goldberg, Arthur Joseph",Associate Justice,1962-1965,,1908,54,Illinois,Jewish,White,Male,Northwestern University,N/A,Northwestern University,N/A,No,Illinois,N/A,,Secretary of Labor,Illinois,John Fitzgerald Kennedy,Democrat,Took another position,56,1990
"Fortas, Abe",Associate Justice,1965-1969,,1910,55,Tennessee,Jewish,White,Male,Southwestern,N/A,Yale University,N/A,No,"Connecticut, Washington, D.C.",N/A,,Law firm,Tennessee,Lyndon Baines Johnson,Democrat,Because of criticism of unethical behavior,58,1982
"Marshall, Thurgood",Associate Justice,1967-1991,,1908,58,Maryland,Episcopalian,Black,Male,Lincoln,N/A,Howard University,N/A,No,Maryland,N/A,Federal judge for the Court of Appeals for the Second Circuit,U.S. Solicitor General,New York,Lyndon Baines Johnson,Democrat,Advanced age,83,1993
"Thornberry, William Homer",Nomination withdrawn,N/A,,1909,59,Texas,Methodist,White,Male,University of Texas,N/A,University of Texas,N/A,No,Texas,N/A,Federal judge for the Western District of Texas and for the Court of Appeals for the Fifth District,U.S. Court of Appeals judge,Texas,Lyndon Baines Johnson,Democrat,N/A,N/A,1995
"Burger, Warren Earl",Chief Justice,1969-1986,,1907,61,Minnesota,Presbyterian,White,Male,University of Minnesota,N/A,St. Paul College of Law (now Mitchell Hamline School of Law),N/A,No,Minnesota,N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,Virginia,Richard Milhous Nixon,Republican,Advanced age,79,1995
"Haynsworth, Clement, Jr.",Not confirmed by the Senate,N/A,,1912,56,South Carolina,Episcopalian,White,Male,Furman University,N/A,Harvard University,N/A,No,South Carolina,N/A,Federal judge for the Court of Appeals for the Fourth Circuit,U.S. Court of Appeals judge,South Carolina,Richard Milhous Nixon,Republican,N/A,N/A,1989
"Carswell, G. Harrold",Not confirmed by the Senate,N/A,,1919,50,Georgia,Episcopalian,White,Male,Duke University,N/A,Mercer University,N/A,No,"Georgia, Florida",N/A,Federal judge for the Northern District of Florida and for the Court of Appeals for the Fifth District,U.S. Court of Appeals judge,Florida,Richard Milhous Nixon,Republican,N/A,N/A,1992
