Full Name,Position ,Years of Service as a justice,Recess Appointment?,Appointing President,Political Party Affiliation of President,Year of Birth,Age When Appointed,Birth location, Home State of Nominee,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's Occupation at Time of Appointment,Served as a state trial judge,Served as a state appellate judge,Served as a justice on the state's highest court,Served as a federal district court judge,Served as a federal appellate judge,Served as an Assistant U.S. Attorney?,Served as a U.S. Attorney?,Served in the Office of the U.S. Solicitor General (but not as SG)?,Served as the U.S. Solicitor General?,Served in the Office of the U.S. Attorney General (but not as AG)?,Served as the U.S. Attorney General?,Served in a U.S. Cabinet (below Secretary level)?,Served at the Secretary level in a U.S. Cabinet?,"Served in a Executive Commission, Agency, or White House Post (at a level below Head)?",Served as Head of an Executive Commission or Agency?,Served as U.S. President,Served in the U.S. House of Representatives,Served in the U.S. Senate,Served as Lt. Governor,Served as Governor,Served as Mayor, Served in a State Senate, Served in a State House, Served on a City Council,Served as a Public Defender,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Woodward, George W.",Not confirmed by the Senate,N/A,,James Knox Polk,Democrat,1809,36,Pennsylvania,Pennsylvania,Unknown,White,Male,Hobart College,N/A,Unknown,Pennsylvania,No,Pennsylvania,State trial court judge,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1875
"Woodbury, Levi",Associate Justice,1845-1851,Yes,James Knox Polk,Democrat,1789,55,New Hampshire,New Hampshire,Presbyterian,White,Male,Dartmouth College,N/A,Read law and attended Litchfield (Tapping Reeve) Law School,Massachusetts,No,New Hampshire,U.S. Senator,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Death,56,1851
"Grier, Robert Cooper",Associate Justice,1846-1870,,James Knox Polk,Democrat,1794,52,Pennsylvania,Pennsylvania,Presbyterian,White,Male,Dickinson College,N/A,No Formal Law School Education/Read law,Pennsylvania,No,Pennsylvania,State trial court judge,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Declining health,75,1870
"Curtis, Benjamin Robbins",Associate Justice,1851-1857,Yes,Millard Fillmore,Whig,1809,41,Massachusetts,Massachusetts,Episcopalian,White,Male,Harvard University,N/A,Harvard University,N/A,No,Massachusetts,Member of the Massachusetts legislature,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Other,42,1874
"Bradford, Edward A.",Not confirmed by the Senate,N/A,,Millard Fillmore,Whig,1813,38,Connecticut,Louisiana,Unknown,White,Male,Yale University,Unknown,Unknown,Unknown,No,Unknown,Private practice (type unknown),Uknown,No,No,No,No,Unknown,Unknown,No,No,Unknown,No,Unknown,No,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,1872
"Badger, George E.",Not confirmed by the Senate,N/A,,Millard Fillmore,Whig,1795,57,North Carolina,North Carolina,Protestant,White,Male,Yale University,N/A,No Formal Law School Education/Read law,North Carolina,No,North Carolina,U.S. Senator,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,N/A,N/A,1866
"Micou, William C.",Not confirmed by the Senate,N/A,,Millard Fillmore,Whig,1806,47,Louisiana,Louisiana,Unknown,White,Male,Unknown,Unknown,Unknown,Unknown,No,Unknown,Private practice (type unknown),Unknown,No,No,No,No,Unknown,Unknown,No,No,Unknown,No,Unknown,No,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,N/A,N/A,1854
"Campbell, John Archibald",Associate Justice,1853-1861,,Franklin Pierce,Democrat,1811,41,Georgia,Alabama,Episcopalian,White,Male,West Point,N/A,No Formal Law School Education/Read law,Georgia,No,Georgia,Solo practice,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Took another position,49,1889
"Clifford, Nathan",Associate Justice,1858-1881,,James Buchanan,Democrat,1803,54,New Hampshire,Maine,Unitarian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,New Hampshire,No,New Hampshire,Small partnership,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Death,77,1881
"Black, Jeremiah S.",Not confirmed by the Senate,N/A,,James Buchanan,Democrat,1810,51,Pennsylvania,Pennsylvania,Disciples Of Christ,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Pennsylvania,No,Pennsylvania,Secretary of State,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1883
"Swayne, Noah Haynes",Associate Justice,1862-1881,,Abraham Lincoln,Republican,1804,57,Virginia,Ohio,Quaker,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Virginia,No,Virginia,Small partnership,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Declining health,76,1884
"Miller, Samuel Freeman",Associate Justice,1862-1890,,Abraham Lincoln,Republican,1816,46,Kentucky,Iowa,Unitarian,White,Male,Transylvania University,N/A,No Formal Law School Education/Read law,Kentucky,No,Kentucky,Small partnership,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,74,1890
"Davis, David",Associate Justice,1862-1877,Yes,Abraham Lincoln,Republican,1815,47,Maryland,Illinois,Presbyterian,White,Male,Kenyon College,N/A,Yale University,Massachusetts,No,Illinois,State trial court judge,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Took another position,47,1886
"Field, Stephen Johnson",Associate Justice,1863-1897,,Abraham Lincoln,Republican,1816,46,Connecticut,California,Episcopalian,White,Male,Williams College,N/A,No Formal Law School Education/Read law,New York,No,New York,State highest court justice,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Declining health,81,1899
"Chase, Salmon Portland",Chief Justice,1864-1873,,Abraham Lincoln,Republican,1808,56,New Hampshire,Ohio,Episcopalian,White,Male,Dartmouth College,N/A,No Formal Law School Education/Read law,"Washington, D.C.",No,Ohio,Secretary of the Treasury,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Death,65,1873
